Tissue_Type,Cell_Type,Machine_Learning,Precision,Recall,F1_score,Accuracy,Selected_Features,Positive_Samples,Negative_Samples
Adrenal_gland,Inflammatory,Logistic_Regression,0.14210526315789473,0.7941176470588235,0.24107142857142858,0.7997644287396938,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,Decision_Tree,0.3333333333333333,0.29411764705882354,0.3125,0.9481743227326266,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,Random_Forest,0.5,0.08823529411764706,0.15,0.9599528857479388,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,XGBoost,0.25925925925925924,0.20588235294117646,0.22950819672131148,0.944640753828033,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,LightGBM,0.4074074074074074,0.3235294117647059,0.36065573770491804,0.9540636042402827,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,SVM,0.1643835616438356,0.7058823529411765,0.26666666666666666,0.8445229681978799,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,Gradient_Boosting,0.5833333333333334,0.20588235294117646,0.30434782608695654,0.9623085983510011,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Inflammatory,Weighted_Ensemble,0.43478260869565216,0.29411764705882354,0.3508771929824561,0.9564193168433451,"Size.Area, Size.ConvexHullArea, Size.MajorAxisLength, Size.Perimeter, Shape.EquivalentDiameter, Shape.FSD4, Nucleus.Intensity.Max, Nucleus.Intensity.Mean, Nucleus.Intensity.Median, Nucleus.Intensity.MAD, Nucleus.Intensity.Skewness, Nucleus.Intensity.HistEnergy, Nucleus.Gradient.Canny.Sum, Nucleus.Gradient.Canny.Mean, Nucleus.Haralick.ASM.Mean, Nucleus.Haralick.SumOfSquares.Range, Nucleus.Haralick.IDM.Mean, Nucleus.Haralick.SumAverage.Mean, Nucleus.Haralick.Entropy.Mean, Nucleus.Haralick.IMC1.Mean",168,4076
Adrenal_gland,Connective,Logistic_Regression,0.4271186440677966,0.6774193548387096,0.5239085239085239,0.7302709069493521,"Size.Area, Size.ConvexHullArea, Size.MinorAxisLength, Size.Perimeter, Shape.Eccentricity, Shape.EquivalentDiameter, Shape.Extent, Shape.MinorMajorAxisRatio, Shape.Solidity, Shape.HuMoments1, Shape.WeightedHuMoments1, Shape.FSD4, Nucleus.Gradient.Canny.Sum, Nucleus.Haralick.Contrast.Range, Nucleus.Haralick.IDM.Range, Nucleus.Haralick.Entropy.Range, Nucleus.Haralick.DifferenceVariance.Range, Nucleus.Haralick.DifferenceEntropy.Range, Nucleus.Haralick.IMC1.Mean, Nucleus.Haralick.IMC1.Range",928,3316
Adrenal_gland,Connective,Decision_Tree,0.4205128205128205,0.44086021505376344,0.4304461942257218,0.7444051825677267,"Size.Area, Size.ConvexHullArea, Size.MinorAxisLength, Size.Perimeter, Shape.Eccentricity, Shape.EquivalentDiameter, Shape.Extent, Shape.MinorMajorAxisRatio, Shape.Solidity, Shape.HuMoments1, Shape.WeightedHuMoments1, Shape.FSD4, Nucleus.Gradient.Canny.Sum, Nucleus.Haralick.Contrast.Range, Nucleus.Haralick.IDM.Range, Nucleus.Haralick.Entropy.Range, Nucleus.Haralick.DifferenceVariance.Range, Nucleus.Haralick.DifferenceEntropy.Range, Nucleus.Haralick.IMC1.Mean, Nucleus.Haralick.IMC1.Range",928,3316
